Year,Month,State,Generation
2013,Jun,NE,38.2247
2013,Jul,NE,109.61746
2013,Aug,NE,121.1667
2013,Sep,NE,54.13539
2013,Oct,NE,12.84672
2013,Nov,NE,29.25129
2013,Dec,NE,21.85591
2013,Jan,NH,394.35793
2013,Feb,NH,312.90987
2013,Mar,NH,312.32317
2013,Apr,NH,16.09213
2013,May,NH,171.54417
2013,Jun,NH,409.59776
2013,Jul,NH,574.6455
2013,Aug,NH,510.57962
2013,Sep,NH,443.7286
2013,Oct,NH,294.56319
2013,Nov,NH,331.87374
2013,Dec,NH,327.95633
2013,Jan,NJ,1654.00647
2013,Feb,NJ,1693.28748
2013,Mar,NJ,2099.19279
2013,Apr,NJ,2110.93575
2013,May,NJ,2179.57363
2013,Jun,NJ,2486.93922
2013,Jul,NJ,3524.21599
2013,Aug,NJ,2782.01746
2013,Sep,NJ,2376.85702
2013,Oct,NJ,2068.84428
2013,Nov,NJ,1961.89621
2013,Dec,NJ,2138.76399
2013,Jan,NM,617.41821
2013,Feb,NM,575.83722
2013,Mar,NM,564.67235
2013,Apr,NM,768.32118
2013,May,NM,758.33854
2013,Jun,NM,844.31354
2013,Jul,NM,935.14609
2013,Aug,NM,1039.19652
2013,Sep,NM,847.25572
2013,Oct,NM,589.0024
2013,Nov,NM,663.65973
2013,Dec,NM,772.08161
2013,Jan,NV,2197.08076
2013,Feb,NV,1925.65691
2013,Mar,NV,1721.37456
2013,Apr,NV,1330.21963
2013,May,NV,1815.39441
2013,Jun,NV,2349.55155
2013,Jul,NV,2874.89673
2013,Aug,NV,2634.24417
2013,Sep,NV,2099.74588
2013,Oct,NV,1972.50227
2013,Nov,NV,1777.00139
2013,Dec,NV,2068.96492
2013,Jan,NY,4108.12214
2013,Feb,NY,4214.26585
2013,Mar,NY,4395.71403
2013,Apr,NY,3642.4944
2013,May,NY,4273.2853
2013,Jun,NY,4959.36
2013,Jul,NY,7221.33615
2013,Aug,NY,5344.74176
2013,Sep,NY,4204.2525
2013,Oct,NY,3603.30808
2013,Nov,NY,3884.88234
2013,Dec,NY,4502.62407
2013,Jan,OH,1912.39293
2013,Feb,OH,2049.9782
2013,Mar,OH,1893.11705
2013,Apr,OH,1279.0263
2013,May,OH,1828.59438
2013,Jun,OH,1879.38126
2013,Jul,OH,2306.03452
2013,Aug,OH,2077.77572
2013,Sep,OH,1006.64378
2013,Oct,OH,1885.41259
2013,Nov,OH,1830.16938
2013,Dec,OH,1745.68524
2013,Jan,OK,2268.31923
2013,Feb,OK,1819.24611
2013,Mar,OK,2349.65154
2013,Apr,OK,2016.02702
2013,May,OK,2390.02608
2013,Jun,OK,3082.22672
2013,Jul,OK,3524.67446
