Year,Month,State,Generation
2013,Jul,SD,242.62609
2013,Aug,SD,282.50079
2013,Sep,SD,236.37552
2013,Oct,SD,188.22232
2013,Nov,SD,252.77943
2013,Dec,SD,249.40125
2013,Jan,TN,2805.72051
2013,Feb,TN,2119.58549
2013,Mar,TN,3100.3053
2013,Apr,TN,3654.66794
2013,May,TN,2709.53047
2013,Jun,TN,3158.35247
2013,Jul,TN,2980.46371
2013,Aug,TN,3142.65869
2013,Sep,TN,2758.58358
2013,Oct,TN,1928.5183
2013,Nov,TN,2194.26113
2013,Dec,TN,1933.18322
2013,Jan,TX,11733.07703
2013,Feb,TX,10110.61032
2013,Mar,TX,10625.51744
2013,Apr,TX,9956.44906
2013,May,TX,12260.72379
2013,Jun,TX,14401.22229
2013,Jul,TX,15394.98429
2013,Aug,TX,15279.09452
2013,Sep,TX,13769.73793
2013,Oct,TX,11562.51528
2013,Nov,TX,10512.85317
2013,Dec,TX,13797.4582
2013,Jan,UT,2897.72591
2013,Feb,UT,2563.47474
2013,Mar,UT,2791.83314
2013,Apr,UT,2174.68016
2013,May,UT,2925.1786
2013,Jun,UT,2913.6607
2013,Jul,UT,3093.17601
2013,Aug,UT,3037.4918
2013,Sep,UT,2966.8527
2013,Oct,UT,3062.50718
2013,Nov,UT,2781.72505
2013,Dec,UT,3076.65084
2013,Jan,VA,1431.59199
2013,Feb,VA,1706.4845
2013,Mar,VA,2313.54965
2013,Apr,VA,1015.60357
2013,May,VA,1375.61337
2013,Jun,VA,2087.56698
2013,Jul,VA,2408.95418
2013,Aug,VA,1985.70969
2013,Sep,VA,1541.42336
2013,Oct,VA,1481.95203
2013,Nov,VA,1782.35824
2013,Dec,VA,2029.6937
2013,Jan,VT,
2013,Feb,VT,
2013,Mar,VT,
2013,Apr,VT,
2013,May,VT,
2013,Jun,VT,
2013,Jul,VT,
2013,Aug,VT,
2013,Sep,VT,
2013,Oct,VT,
2013,Nov,VT,
2013,Dec,VT,
2013,Jan,WA,451.79446
2013,Feb,WA,381.67039
2013,Mar,WA,851.84008
2013,Apr,WA,23.79788
2013,May,WA,0.0
2013,Jun,WA,109.35783
2013,Jul,WA,723.00113
2013,Aug,WA,886.35104
2013,Sep,WA,820.67528
2013,Oct,WA,911.25799
2013,Nov,WA,737.47544
2013,Dec,WA,843.20346
2013,Jan,WI,3199.18414
2013,Feb,WI,3088.74271
2013,Mar,WI,3250.84184
2013,Apr,WI,3018.09448
2013,May,WI,2973.26928
2013,Jun,WI,3551.38589
2013,Jul,WI,4292.15608
2013,Aug,WI,3772.26703
2013,Sep,WI,3316.21868
2013,Oct,WI,2957.93132
2013,Nov,WI,3074.16237
2013,Dec,WI,4150.92711
2013,Jan,WV,7454.48492
2013,Feb,WV,6136.46744
2013,Mar,WV,5521.77729
2013,Apr,WV,4437.91692
2013,May,WV,4547.04629
2013,Jun,WV,6183.289
2013,Jul,WV,6315.85733
2013,Aug,WV,6228.94617
2013,Sep,WV,6523.58316
2013,Oct,WV,6323.98558
2013,Nov,WV,6258.11034
2013,Dec,WV,6352.894
2013,Jan,WY,4153.51126
2013,Feb,WY,3921.95327
2013,Mar,WY,3667.69609
2013,Apr,WY,3196.49126
2013,May,WY,3307.39349
2013,Jun,WY,3935.4337
2013,Jul,WY,4224.52632
2013,Aug,WY,4283.53726
2013,Sep,WY,3758.29809
2013,Oct,WY,3977.13656
2013,Nov,WY,3954.01416
2013,Dec,WY,4056.68718
2014,Jan,AK,58.25594
2014,Feb,AK,54.27295
2014,Mar,AK,57.65468
2014,Apr,AK,51.70101
2014,May,AK,51.04065
2014,Jun,AK,52.36322
2014,Jul,AK,43.92516
2014,Aug,AK,34.16418
2014,Sep,AK,33.6695
2014,Oct,AK,36.91508
2014,Nov,AK,40.44321
2014,Dec,AK,43.88659
2014,Jan,AL,4495.65888
2014,Feb,AL,4255.92603
2014,Mar,AL,3510.01973
2014,Apr,AL,3244.89401
2014,May,AL,4200.70745
2014,Jun,AL,4503.70158
2014,Jul,AL,4922.91967
2014,Aug,AL,4866.24499
2014,Sep,AL,3887.15431
2014,Oct,AL,3134.64862
2014,Nov,AL,2971.35603
2014,Dec,AL,3308.39498
2014,Jan,AR,3072.8372
2014,Feb,AR,3019.71679
2014,Mar,AR,2874.59926
2014,Apr,AR,2368.91496
2014,May,AR,2914.76621
2014,Jun,AR,2879.48038
2014,Jul,AR,2921.72008
2014,Aug,AR,3156.42846
2014,Sep,AR,2762.34337
2014,Oct,AR,2556.01928
2014,Nov,AR,2519.96085
2014,Dec,AR,2173.96795
2014,Jan,AZ,3916.03012
2014,Feb,AZ,2959.41765
2014,Mar,AZ,3315.93692
2014,Apr,AZ,3043.53276
2014,May,AZ,3414.49432
2014,Jun,AZ,3671.65897
2014,Jul,AZ,4072.66583
2014,Aug,AZ,4074.09309
2014,Sep,AZ,3899.13643
2014,Oct,AZ,3622.43124
2014,Nov,AZ,3195.86239
2014,Dec,AZ,3479.75086
2014,Jan,CA,24.74067
2014,Feb,CA,26.28818
2014,Mar,CA,82.01781
2014,Apr,CA,53.33554
2014,May,CA,48.01294
2014,Jun,CA,117.58735
2014,Jul,CA,118.95261
2014,Aug,CA,119.50739
2014,Sep,CA,109.04185
2014,Oct,CA,50.80151
2014,Nov,CA,27.29612
2014,Dec,CA,27.17762
2014,Jan,CO,3174.04061
2014,Feb,CO,2947.52885
2014,Mar,CO,2391.50033
2014,Apr,CO,2445.68004
2014,May,CO,2493.84642
2014,Jun,CO,2651.49081
2014,Jul,CO,3306.91766
2014,Aug,CO,3228.39852
2014,Sep,CO,2587.55929
2014,Oct,CO,2330.43063
2014,Nov,CO,2283.29508
2014,Dec,CO,2704.16065
2014,Jan,CT,171.7483
2014,Feb,CT,220.54263
2014,Mar,CT,232.4322
2014,Apr,CT,33.60461
2014,May,CT,-1.19206
2014,Jun,CT,2.1197
2014,Jul,CT,50.72694
2014,Aug,CT,-2.38808
2014,Sep,CT,-1.80588
2014,Oct,CT,-1.82071
2014,Nov,CT,110.11527
2014,Dec,CT,10.86498
2014,Jan,DC,
2014,Feb,DC,
2014,Mar,DC,
2014,Apr,DC,
2014,May,DC,
2014,Jun,DC,
2014,Jul,DC,
2014,Aug,DC,
2014,Sep,DC,
2014,Oct,DC,
2014,Nov,DC,
2014,Dec,DC,
2014,Jan,DE,167.31803
2014,Feb,DE,209.90146
2014,Mar,DE,131.47
2014,Apr,DE,90.57655
2014,May,DE,92.41449
2014,Jun,DE,53.36311
2014,Jul,DE,54.62374
2014,Aug,DE,0.0
2014,Sep,DE,59.82006
2014,Oct,DE,-1.59229
2014,Nov,DE,-1.44329
2014,Dec,DE,8.93238
2014,Jan,FL,4695.53604
2014,Feb,FL,4426.30853
2014,Mar,FL,3635.68037
2014,Apr,FL,3598.02836
2014,May,FL,4190.01344
2014,Jun,FL,4718.92324
2014,Jul,FL,5090.94279
2014,Aug,FL,5042.5541
2014,Sep,FL,4311.0526
2014,Oct,FL,3880.43411
2014,Nov,FL,4191.18028
2014,Dec,FL,4273.03527
2014,Jan,GA,4997.14404
2014,Feb,GA,4575.53666
2014,Mar,GA,3336.73896
2014,Apr,GA,3004.48209
2014,May,GA,3919.84361
2014,Jun,GA,5036.7128
2014,Jul,GA,5306.28358
2014,Aug,GA,4403.72424
2014,Sep,GA,3605.12233
2014,Oct,GA,1891.73806
2014,Nov,GA,2637.03368
2014,Dec,GA,2580.75329
2014,Jan,HI,133.20984
2014,Feb,HI,94.80838
2014,Mar,HI,119.49943
2014,Apr,HI,122.08121
2014,May,HI,134.26463
2014,Jun,HI,119.05966
2014,Jul,HI,132.93019
2014,Aug,HI,132.30413
2014,Sep,HI,129.61706
2014,Oct,HI,134.63666
2014,Nov,HI,132.01398
2014,Dec,HI,126.75866
2014,Jan,IA,3067.31742
2014,Feb,IA,3138.615
2014,Mar,IA,2763.62677
2014,Apr,IA,1835.27467
2014,May,IA,1999.12868
2014,Jun,IA,2847.44369
2014,Jul,IA,3286.36862
2014,Aug,IA,3624.29209
2014,Sep,IA,2558.74689
2014,Oct,IA,2664.04556
2014,Nov,IA,2477.36456
2014,Dec,IA,3470.54142
2014,Jan,ID,8.42071
2014,Feb,ID,7.75408
2014,Mar,ID,7.78021
2014,Apr,ID,4.57663
2014,May,ID,2.99334
