Year,State,Plant Code,Aggregated Fuel Group,Generation,Emission
2013,CA,10884,GAS,16675270.0,18998.9865
2013,CA,50003,GAS,147677000.0,78456.3975
2013,CA,50061,GAS,58663000.0,48379.617
2013,CA,50062,GAS,21881000.0,12300.21
2013,CA,50089,GAS,8592000.0,11120.031
2013,CA,50115,GAS,323635000.0,250408.1385
2013,CA,50119,GAS,141030125.0,149084.793
2013,CA,50131,GAS,253056000.0,196696.0125
2013,CA,50134,GAS,1434781000.0,1016452.71
2013,CA,50170,GAS,302898000.0,247524.0885
2013,CA,50200,GAS,35625000.0,31038.4035
2013,CA,50216,GAS,2748343364.0,1745130.2895
2013,CA,50224,GAS,1097084.0,907.218
2013,CA,50234,GAS,15143940.0,9237.9105
2013,CA,50270,GAS,361536000.0,226319.418
2013,CA,50293,GAS,282752.0,220.428
2013,CA,50299,GAS,116824000.0,66287.988
2013,CA,50300,GAS,106532000.0,61620.4485
2013,CA,50464,GAS,554827000.0,318485.232
2013,CA,50493,GAS,8456000.0,5172.57
2013,CA,50494,GAS,7698000.0,4732.8255
2013,CA,50495,GAS,8734000.0,4783.2525
2013,CA,50530,GAS,218597114.0,168444.08099999998
2013,CA,50537,GAS,32964000.0,29201.796
2013,CA,50541,GAS,21818000.0,15244.3395
2013,CA,50610,GAS,0.0,7930.26
2013,CA,50612,GAS,144058000.0,77280.1965
2013,CA,50622,GAS,98518000.0,73966.581
2013,CA,50623,GAS,6388000.0,12909.429
2013,CA,50624,GAS,112212673.0,88714.0215
2013,CA,50674,GAS,79000.0,3444.363
2013,CA,50696,GAS,2831842.0,1947.231
2013,CA,50748,GAS,19285000.0,10585.926
2013,CA,50750,GAS,53073000.0,50418.7515
2013,CA,50751,GAS,158905000.0,112677.903
2013,CA,50752,GAS,401866000.0,250854.903
2013,CA,50837,GAS,7531735.0,8433.6525
2013,CA,50849,GAS,145310000.0,100649.4255
2013,CA,50850,GAS,233357000.0,120504.384
2013,CA,50851,GAS,207577000.0,107391.7845
2013,CA,50864,GAS,278982000.0,212354.9415
2013,CA,50865,GAS,278860000.0,213951.6405
2013,CA,50876,GAS,75668000.0,46243.899
2013,CA,50963,GAS,32367000.0,25733.6235
2013,CA,50985,GAS,9027000.0,63322.6815
2013,CA,52063,GAS,295625.0,11936.7495
2013,CA,52064,GAS,2047546.0,34759.647
2013,CA,52073,GAS,224732568.0,200669.03999999998
2013,CA,52076,GAS,47769000.0,47040.2595
2013,CA,52077,GAS,32531000.0,31996.8675
2013,CA,52081,GAS,41579000.0,56712.6495
2013,CA,52082,GAS,44496000.0,57327.192
2013,CA,52085,GAS,86456000.0,116780.625
2013,CA,52086,GAS,62451000.0,53551.719
2013,CA,52096,GAS,314422000.0,216215.4735
2013,CA,52099,GAS,3013934.0,1221.5385
2013,CA,52104,GAS,77824000.0,102084.7815
2013,CA,52107,GAS,334140000.0,228746.2905
2013,CA,52109,GAS,808027261.0,531521.8155
2013,CA,52115,GAS,22762000.0,19959.849
2013,CA,52147,GAS,83538000.0,62645.7195
2013,CA,52169,GAS,1341230000.0,920940.4035
2013,CA,52186,GAS,22584000.0,12872.8665
2013,CA,54296,GAS,12585000.0,8468.7525
2013,CA,54337,GAS,1695000.0,1103.1345
2013,CA,54371,GAS,240906000.0,137163.546
2013,CA,54410,GAS,205172460.0,116991.927
2013,CA,54447,GAS,36267000.0,33229.1115
2013,CA,54449,GAS,40073000.0,56493.567
2013,CA,54451,GAS,90920533.0,68108.742
2013,CA,54561,GAS,217309000.0,135055.323
2013,CA,54626,GAS,11222553.0,10839.2895
2013,CA,54749,GAS,161084000.0,82347.1155
2013,CA,54768,GAS,337463000.0,184674.906
2013,CA,54800,GAS,25704000.0,25612.5285
2013,CA,54912,GAS,810500000.0,460398.3345
2013,CA,54936,GAS,18000000.0,14980.329
2013,CA,55084,GAS,1581428000.0,812682.117
2013,CA,55112,GAS,1042203000.0,472148.1765
2013,CA,55151,GAS,6570936000.0,2754396.3915
2013,CA,55182,GAS,1233457000.0,536507.829
2013,CA,55184,GAS,49075000.0,43121.403
2013,CA,55217,GAS,3524876000.0,1538315.8244999999
2013,CA,55295,GAS,1837028000.0,785344.7744999999
2013,CA,55333,GAS,5652674000.0,2436863.5395
2013,CA,55345,GAS,3702471000.0,1541126.3399999999
2013,CA,55393,GAS,3131656000.0,1285165.908
2013,CA,55400,GAS,3913619000.0,1637925.822
2013,CA,55499,GAS,7097000.0,4485.1365
2013,CA,55508,GAS,7871000.0,5020.0605
2013,CA,55510,GAS,8601000.0,5660.0505
2013,CA,55512,GAS,40203000.0,26276.211
2013,CA,55513,GAS,12505000.0,7956.5265
2013,CA,55518,GAS,4591241000.0,1922089.2795
2013,CA,55540,GAS,511000.0,533.403
2013,CA,55541,GAS,83432000.0,51707.6235
2013,CA,55542,GAS,86781000.0,53196.3315
2013,CA,55625,GAS,12691000.0,6841.3995
2013,CA,55626,GAS,11529000.0,7509.7035
2013,CA,55627,GAS,12256000.0,7946.757
2013,CA,55656,GAS,4992677000.0,2063617.452
2013,CA,55698,GAS,124225000.0,79751.061
2013,CA,55748,GAS,297482000.0,145449.135
2013,CA,55807,GAS,54088000.0,33873.84
2013,CA,55810,GAS,63073000.0,41261.571
2013,CA,55811,GAS,6447000.0,4297.176
2013,CA,55813,GAS,37179000.0,23666.175
2013,CA,55847,GAS,32353000.0,19699.641
2013,CA,55851,GAS,311401011.0,192567.843
2013,CA,55853,GAS,1646604000.0,678231.7425
2013,CA,55855,GAS,19023000.0,12048.2505
2013,CA,55874,GAS,4230000.0,3973.788
2013,CA,55933,GAS,610541000.0,290349.0135
2013,CA,55934,GAS,1867000.0,1599.39
2013,CA,55935,GAS,1812000.0,2635.9515
2013,CA,55950,GAS,126013000.0,101230.974
2013,CA,55951,GAS,39754000.0,23691.447
2013,CA,55963,GAS,20290000.0,12742.236
2013,CA,55970,GAS,3828845000.0,1524172.8645
2013,CA,55985,GAS,3773689000.0,1539875.55149999
2013,CA,56026,GAS,922802000.0,452554.0695
2013,CA,56039,GAS,157780.0,127.296
2013,CA,56041,GAS,706940057.0,316952.649
2013,CA,56046,GAS,1163701000.0,483987.8745
2013,CA,56051,GAS,316949000.0,189697.6575
2013,CA,56078,GAS,1409497000.0,644902.479
2013,CA,56080,GAS,41278758.0,29476.1025
2013,CA,56134,GAS,4423790.0,6490.8675
2013,CA,56135,GAS,20526000.0,12280.086
2013,CA,56143,GAS,49710000.0,30648.618
2013,CA,56144,GAS,1504000.0,1243.359
2013,CA,56184,GAS,10287000.0,6438.51
2013,CA,56185,GAS,24057000.0,14901.4125
2013,CA,56232,GAS,143931000.0,81392.805
2013,CA,56239,GAS,177029000.0,102524.409
2013,CA,56284,GAS,2108438.0,2134.665
2013,CA,56298,GAS,557107000.0,247877.72100000002
2013,CA,56346,GAS,58000.0,464.5485
2013,CA,56356,GAS,22348000.0,11491.9155
2013,CA,56467,GAS,1522253000.0,609000.561
2013,CA,56471,GAS,23874000.0,14850.459
2013,CA,56472,GAS,21207000.0,13027.131
2013,CA,56473,GAS,15165000.0,9580.7205
2013,CA,56474,GAS,16282000.0,10238.904
2013,CA,56475,GAS,19979000.0,10586.745
2013,CA,56476,GAS,3182079000.0,1320049.2825
2013,CA,56532,GAS,2535528000.0,1059018.246
2013,CA,56569,GAS,51829000.0,31822.83
2013,CA,56639,GAS,40874000.0,26077.7205
2013,CA,56706,GAS,49745.0,59.8455
2013,CA,56803,GAS,344842000.0,183975.012
2013,CA,56914,GAS,38978000.0,23862.4425
2013,CA,57001,GAS,24198000.0,16000.452
2013,CA,57027,GAS,104665000.0,63076.455
2013,CA,57042,GAS,7775000.0,4344.8535
2013,CA,57043,GAS,10170000.0,5391.36
2013,CA,57122,GAS,101699650.0,76556.142
2013,CA,57267,GAS,75311000.0,55721.7765
2013,CA,57420,GAS,851297.0,457.7625
2013,CA,57460,GAS,1177383.0,700.128
2013,CA,57482,GAS,309195000.0,178376.562
2013,CA,57483,GAS,77900000.0,49105.5435
2013,CA,57515,GAS,316129000.0,177327.423
2013,CA,57544,GAS,4571000.0,2676.0825
2013,CA,57557,GAS,3137514.0,2323.503
2013,CA,57564,GAS,138890000.0,61338.537
2013,CA,57573,GAS,17191000.0,17304.3585
2013,CA,57580,GAS,14992040.0,9132.0255
2013,CA,57584,GAS,199218000.0,133926.5655
2013,CA,57585,GAS,204427000.0,134528.6475
2013,CA,57592,GAS,2505000.0,1697.202
2013,CA,57713,GAS,30182002.0,19992.726
2013,CA,57714,GAS,22000.0,13.5135
2013,CA,57715,GAS,3155000.0,4827.7125
2013,CA,57735,GAS,17432000.0,9885.8565
2013,CA,57770,GAS,8803000.0,4389.4305
2013,CA,57793,GAS,9876240.0,5130.7425
2013,CA,57807,GAS,1567032.0,699.0165
2013,CA,57808,GAS,6195420.0,2746.692
2013,CA,57809,GAS,6165720.0,2742.0705
2013,CA,57811,GAS,7696260.0,3849.3585
2013,CA,57857,GAS,554933.0,479.115
2013,CA,57901,GAS,575967000.0,275399.3385
2013,CA,57916,GAS,18312630.0,59063.472
2013,CA,57977,GAS,28364000.0,17334.837
2013,CA,57978,GAS,1191114000.0,498399.993
2013,CA,58056,GAS,17745000.0,15885.9675
2013,CA,58083,GAS,172534000.0,116301.68549999999
2013,CA,58100,GAS,29610000.0,25452.999
2013,CA,58122,GAS,29910000.0,18832.086
2013,CA,58128,GAS,4254738.0,666.8415
2013,CA,58132,GAS,2024966.0,795.1905
2013,CA,58168,GAS,9884280.0,6641.037
2013,CA,58169,GAS,26725580.0,18815.121
2013,CA,58198,GAS,72871182.0,60123.375
2013,CA,58223,GAS,0.0,19539.0
2013,CA,58296,GAS,6863670.0,2856.0285
2013,CA,58297,GAS,5647950.0,2321.6895
2013,CA,58298,GAS,6435000.0,2148.237
2013,CA,58299,GAS,7816050.0,3384.693
2013,CA,58300,GAS,7485390.0,3164.499
2013,CA,58301,GAS,2832390.0,1147.185
2013,CA,58302,GAS,8026920.0,3330.873
2013,CA,58303,GAS,6837930.0,2782.0845
2013,CA,58422,GAS,5127210.0,33616.4985
2013,CA,58432,GAS,37541000.0,18953.883
2013,CA,58440,GAS,4366000.0,2122.4385
2013,CA,58472,GAS,2117598.0,2106.702
2013,CA,58585,GAS,7799000.0,4248.036
2013,CA,58593,GAS,160050.0,224.6985
2013,CA,58607,GAS,60000.0,45.747
2013,CA,58619,GAS,1868000.0,1021.3515
2013,CA,58914,GAS,48052000.0,32689.332
2013,CA,58960,GAS,317654.0,180.8235
2013,CA,59279,GAS,6143940.0,2474.9595
2013,CA,99999,GAS,95441115.0,54635.256
2013,CO,464,GAS,9843205.0,9785.178
2013,CO,465,COAL,702882347.0,963672.1983
2013,CO,465,GAS,26205653.0,19910.2995
2013,CO,469,COAL,2844851646.0,3065351.9772
2013,CO,469,GAS,28917354.0,18729.945
2013,CO,470,COAL,8826039374.0,9980806.0086
2013,CO,470,GAS,133619626.0,82952.883
2013,CO,471,GAS,270386.0,557.505
2013,CO,477,COAL,990623504.0,990210.0004
2013,CO,477,GAS,5236496.0,3523.1625000000004
2013,CO,478,GAS,580000.0,2019.186
2013,CO,492,COAL,1478880995.0,1791806.5891999998
2013,CO,492,GAS,8300652.0,5506.8975
2013,CO,493,GAS,3267370.0,3206.268
2013,CO,496,GAS,130659.0,87.282
2013,CO,506,GAS,-449500.0,0.0
2013,CO,511,GAS,512.0,0.351
2013,CO,525,COAL,3172276663.0,3546722.9488
2013,CO,525,GAS,339691.0,215.3385
2013,CO,527,COAL,366737557.0,467287.5772
2013,CO,6021,COAL,8180974969.0,8829199.6569
2013,CO,6021,GAS,16342890.0,9657.297
2013,CO,6112,GAS,3179222000.0,1498311.009
2013,CO,6248,COAL,3084097968.0,3443288.3478
2013,CO,6248,GAS,9484032.0,5844.0915
2013,CO,6761,COAL,2351525634.0,2510407.2924
